action,request_path,request_encoding,play_stage,client_evidence,request_fields,response_fields,cmn_effect,static_config_dependencies,persistence_entities,implementation_status,handling_class,test_fixture,device_validation,risk,next_step
gem.gemCompose,?do=gem.gemCompose,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:191"",""docs/ref/gem.md#gemgemCompose"",""Views/Gems/GemsComposeView.js:276 (OneStepComposeCallBack)"",""Views/Gems/GemsComposeView.js:301 (ComposeCallback)""]","[""multi"",""type"",""user_gem_id"",""user_id""]","[""result"",""return_info""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
gem.gemInherit,?do=gem.gemInherit,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:167"",""docs/ref/gem.md#gemgemInherit"",""Views/Gems/GemsHoleextendView.js:376 (rightCB)"",""Views/Gems/GemsHoleextendView.js:400 (rightCB)""]","[""from_equipment_id"",""to_equipment_id"",""user_id""]","[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
gem.gemInset,?do=gem.gemInset,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:165"",""docs/ref/gem.md#gemgemInset"",""Views/Gems/GemsPunchView.js:562 (_inlayOrRemove)"",""Views/Gems/GemsSophisticationView.js:551 (_inlayOrRemove)""]","[""bore_id"",""user_gem_id"",""user_id""]","[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
gem.gemRemove,?do=gem.gemRemove,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:166"",""docs/ref/gem.md#gemgemRemove"",""Views/Gems/GemsPunchView.js:598 (_inlayOrRemove)"",""Views/Gems/GemsSophisticationView.js:583 (_inlayOrRemove)""]","[""bore_id"",""user_gem_id"",""user_id""]","[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
gem.lock,?do=gem.lock,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:162"",""docs/ref/gem.md#gemlock"",""Views/Gems/GemsSophisticationView.js:800 (_gemLockAndUnlockCallBack)""]","[""bore_id"",""user_id""]","[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
gem.unlock,?do=gem.unlock,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:163"",""docs/ref/gem.md#gemunlock"",""Views/Gems/GemsSophisticationView.js:817 (_gemLockAndUnlockCallBack)""]","[""bore_id"",""user_id""]","[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
general.autoCultivate,?do=general.autoCultivate,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:235"",""docs/ref/general.md#generalautoCultivate"",""Views/Dialog/AutoPracticeDialog.js:423 (_requestAutoPractice)""]","[""cultivate_num"",""cultivate_rule"",""is_gain"",""is_multi"",""is_need_talent"",""user_general_id"",""user_id""]","[""attr_info""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
general.culture,/index.php?do=general.culture,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:48"",""docs/ref/general.md#generalculture"",""Scene/Develop/AlchemyView.js:346 (init)"",""Scene/Develop/AlchemyView.js:359 (init)"",""Scene/Develop/AlchemyView.js:373 (init)"",""Scene/Develop/AlchemyView.js:386 (init)""]","[""forcepush"",""is_gain"",""is_multi"",""user_general_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
general.getOverview,/index.php?do=general.getOverview,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:123"",""docs/ref/general.md#generalgetOverview"",""Tools/Net.js:150 (displayOtherTeamInfo)""]","[""other_user_id""]","[""info""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
general.insight,/index.php?do=general.insight,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:80"",""docs/ref/general.md#generalinsight"",""Scene/Aga/AgaScene.js:593 (setCardInfo)""]","[""user_general_id""]",[],cmn models: xs.Models.BreachModel.create,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
general.reincarnate,/index.php?do=general.reincarnate,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:81"",""docs/ref/general.md#generalreincarnate"",""Scene/Aga/AgaScene.js:630 (setCardInfo)""]","[""general_id"",""ignoreRandEvent""]",[],No model hop extracted; inspect ref page and cmn consumers.,"[""sgs_generals""]",not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
general.removeObject,/index.php?do=general.removeObject,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:122"",""docs/ref/general.md#generalremoveObject"",""Scene/TeamBuild/TeamBuildScene.js:890 (removeObjectAndCloseDialog)"",""Scene/TeamBuild/TeamBuildScene.js:905 (removeObjectAndCloseDialog)"",""Scene/TeamBuild/TeamBuildScene_V2.js:704 (removeObjectAndCloseDialog)"",""Scene/TeamBuild/TeamBuildScene_V2.js:719 (removeObjectAndCloseDialog)""]","[""object_instance_id"",""position"",""type"",""user_general_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
general.sacrifice,/index.php?do=general.sacrifice,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:84"",""docs/ref/general.md#generalsacrifice"",""Scene/Worship/WorshipScene.js:275 (requestWorshipGeneral)""]","[""item_id"",""sacrifice_type"",""user_death_general_id"",""user_general_id""]",[],cmn models: xs.Models.TransmissionModel.create,"[""sgs_item""]",not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
general.setEquipment,/index.php?do=general.setEquipment,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),6 背包与装备,"[""ReconstructedJS/src_jsc/Cfg/Url.js:29"",""docs/ref/general.md#generalsetEquipment"",""Scene/TeamBuild/TeamBuildScene.js:1251 (Net_ReplaceEquipment)"",""Scene/TeamBuild/TeamBuildScene_V2.js:961 (Net_ReplaceEquipment)""]","[""new_equipment_id"",""user_general_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,"player_equipment, tutorial_progress, request_dedup",IMPLEMENTED_LOCAL_SLICE,GAMEPLAY_REQUIRED,HTTP integration test,NOT DEVICE VERIFIED,"Current handler covers only the local reconstruction slice; verify full response, rules, costs, and restart behavior.","Extend behavior from client evidence; add success, legal refusal, retry, persistence, and device checks."
general.setLieutenant,/index.php?do=general.setLieutenant,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:30"",""docs/ref/general.md#generalsetLieutenant"",""Scene/TeamBuild/TeamBuildScene.js:1278 (Net_ReplaceAssistantGeneral)"",""Scene/TeamBuild/TeamBuildScene_V2.js:990 (Net_ReplaceAssistantGeneral)""]","[""lieutenant_user_general_id"",""major_user_general_id"",""position""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
general.setSkill,/index.php?do=general.setSkill,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:28"",""docs/ref/general.md#generalsetSkill"",""Scene/TeamBuild/TeamBuildScene.js:1228 (Net_ReplaceSkill)"",""Scene/TeamBuild/TeamBuildScene_V2.js:934 (Net_ReplaceSkill)""]","[""new_skill_id"",""skill_pos"",""user_general_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
general.takeCultureItem,/index.php?do=general.takeCultureItem,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:49"",""docs/ref/general.md#generaltakeCultureItem"",""Scene/Develop/AlchemyView.js:171 (showAlchemyResult)"",""Scene/Develop/AlchemyView.js:183 (showAlchemyResult)""]","[""is_take"",""user_general_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
godness.cancelFight,?do=godness.cancelFight,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:220"",""docs/ref/godness.md#godnesscancelFight"",""Views/Goddess/GoddessMainView.js:502 (goToFight)""]","[""user_godness_id"",""user_id""]","[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
godness.fight,?do=godness.fight,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:219"",""docs/ref/godness.md#godnessfight"",""Views/Goddess/GoddessMainView.js:522 (goToFight)""]","[""user_godness_id"",""user_id""]","[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
godness.switchGodness,?do=godness.switchGodness,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:221"",""docs/ref/godness.md#godnessswitchGodness"",""Views/Goddess/GoddessMainView.js:476 (changeSkinCallBack)""]","[""godness_skin_id"",""user_godness_id"",""user_id""]","[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
hulao.fight,?do=hulao.fight,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:225"",""docs/ref/hulao.md#hulaofight"",""Views/HulaoBattle/GarrisonLayoutDialog.js:793 (GoToFightCallBack)""]","[""forcePush"",""general_list"",""mode"",""stage"",""user_id""]","[""return_info""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
hulao.index,?do=hulao.index,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:222"",""docs/ref/hulao.md#hulaoindex"",""Views/HulaoBattle/GarrisonLayoutDialog.js:861 (funcFinish)"",""Views/HulaoBattle/GarrisonLayoutDialog.js:908 (funcFinish)"",""Views/HulaoBattle/GarrisonLayoutDialog.js:948 (funcFinish)"",""Views/HulaoBattle/HulaoBattleMainView.js:213 (getHulaoBattleReward)"",""Tools/Scene.js:116 (gotoWorldBoss)""]","[""user_id""]","[""return_info""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
hulao.lineup,?do=hulao.lineup,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:224"",""docs/ref/hulao.md#hulaolineup"",""Views/HulaoBattle/HulaoBattleMainView.js:134 (goToGarrisonLayoutDialog)"",""Views/HulaoBattle/HulaoBattleSelectDifficulty.js:96 (setDifficultyRequest)""]","[""mode"",""stage"",""user_id""]","[""return_info"",""return_info.left_info"",""return_info.left_info.consume_fortune"",""return_info.left_info.general_list"",""return_info.left_info.total_fortune""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
hulao.recieve,?do=hulao.recieve,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:223"",""docs/ref/hulao.md#hulaorecieve"",""Views/HulaoBattle/HulaoBattleMainView.js:205 (getHulaoBattleReward)""]","[""mode"",""stage"",""user_id""]","[""add_list"",""return_info""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
idcard.getCode,/?do=idcard.getCode,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:247"",""docs/ref/idcard.md#idcardgetCode"",""Views/Dialog/VerificationTelDialog.js:114 (init)""]","[""mobile"",""user_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,unit regression test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
idcard.save,/index.php?do=idcard.save,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:246"",""docs/ref/idcard.md#idcardsave"",""Views/Dialog/IdCardBindingDialog.js:171 (onBindingBtnClick)""]","[""idcard"",""user_id"",""user_name""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,HTTP integration test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
idcard.saveMobile,/?do=idcard.saveMobile,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:248"",""docs/ref/idcard.md#idcardsaveMobile"",""Views/Dialog/VerificationTelDialog.js:136 (init)""]","[""mobile"",""mobile_code"",""user_id""]","[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,unit regression test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
item.buy,/index.php?do=item.buy,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),6 背包与装备,"[""ReconstructedJS/src_jsc/Cfg/Url.js:52"",""docs/ref/item.md#itembuy"",""Views/Table/Cell/AvoidWarTableViewCell.js:111 (buyItemCallback)"",""Views/Dialog/Dialog.js:169 (init)"",""Scene/Ladder/LadderGiftView.js:150 (onExchangeBtn)"",""Scene/Ladder/LadderGiftView_Honor.js:207 (onExchangeBtn)"",""Tools/Net.js:42 (BuyGood)""]","[""addNum"",""currency_type"",""discount_price"",""forcepush"",""item_advanced_id"",""item_num"",""ladder_push"",""vipstore_push""]","[""add_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
item.buyPlusUse,/index.php?do=item.buyPlusUse,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),6 背包与装备,"[""ReconstructedJS/src_jsc/Cfg/Url.js:57"",""docs/ref/item.md#itembuyPlusUse"",""Scene/Ladder/LadderGiftView.js:185 (onGetGiftBtn)"",""Scene/Ladder/LadderGiftView_Honor.js:119 (getAllCallback)"",""Scene/Ladder/LadderGiftView_Honor.js:246 (onGetGiftBtn)""]","[""discount_price"",""forcepush"",""item_advanced_id"",""item_num"",""ladder_push""]","[""add_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
item.deleteItem,/index.php?do=item.deleteItem,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),6 背包与装备,"[""ReconstructedJS/src_jsc/Cfg/Url.js:55"",""docs/ref/item.md#itemdeleteItem"",""Scene/Bag/BagScene.js:900 (rightCB)"",""Scene/Bag/BagScene.js:928 (rightCB)""]","[""item_id"",""user_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,"[""sgs_item""]",not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
item.getList,/index.php?do=item.getList,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),6 背包与装备,"[""ReconstructedJS/src_jsc/Cfg/Url.js:50"",""docs/ref/item.md#itemgetList"",""Views/StoreItemView.js:83 (refreshStore)"",""Scene/Ladder/LadderGiftView.js:48 (init)"",""Scene/Ladder/LadderGiftView.js:202 (reFresh)"",""Scene/Ladder/LadderGiftView_Honor.js:106 (getAllCallback)"",""Scene/Ladder/LadderGiftView_Honor.js:153 (requestGetGoodsList)"",""Scene/Ladder/LadderGiftView_Honor.js:270 (reFresh)""]","[""belongs_shop"",""is_gift"",""refreshStoreSuccessCallback""]","[""item_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
item.getQuickList,/index.php?do=item.getQuickList,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),6 背包与装备,"[""ReconstructedJS/src_jsc/Cfg/Url.js:51"",""docs/ref/item.md#itemgetQuickList"",""Views/WorshipWinePopNode.js:299 (initDataSource)"",""Views/Table/AvoidWarTableView.js:51 (reGetData)""]","[""item_id"",""refreshData"",""requestLimitGoodsListSuccessCallback""]","[""item_list""]",No model hop extracted; inspect ref page and cmn consumers.,"[""sgs_item""]",not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
item.quickBuy,/index.php?do=item.quickBuy,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),6 背包与装备,"[""ReconstructedJS/src_jsc/Cfg/Url.js:121"",""docs/ref/item.md#itemquickBuy"",""Views/Dialog/SpecificDialog.js:263 (init)"",""Views/Dialog/SpecificDialog.js:310 (init)"",""Views/Dialog/SpecificDialog.js:378 (init)"",""Views/Dialog/SpecificDialog.js:443 (init)"",""Views/Dialog/SpecificDialog.js:496 (init)"",""Views/Dialog/SpecificDialog.js:634 (createChallengeNotEnough)""]","[""currency_type"",""disCountPrice"",""extra_param"",""forcepush"",""item_id"",""item_num""]","[""add_list""]",No model hop extracted; inspect ref page and cmn consumers.,"[""sgs_item""]",not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
item.resolveItem,/index.php?do=item.resolveItem,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),6 背包与装备,"[""ReconstructedJS/src_jsc/Cfg/Url.js:54"",""docs/ref/item.md#itemresolveItem"",""Scene/Bag/BagScene.js:265 (confirmSelect)""]","[""forcepush"",""item_num"",""user_item_id""]","[""add_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
item.use,/index.php?do=item.use,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),6 背包与装备,"[""ReconstructedJS/src_jsc/Cfg/Url.js:53"",""docs/ref/item.md#itemuse"",""Views/Table/Cell/AvoidWarTableViewCell.js:125 (useItemCallback)"",""Views/Dialog/SpecificDialog.js:359 (init)"",""Views/Dialog/SpecificDialog.js:424 (init)"",""Scene/Bag/BagScene.js:272 (confirmSelect)"",""Scene/Bag/BagScene.js:417 (BagItemCell_centerBtnCallback)"",""Scene/Bag/BagScene.js:872 (rightCB)""]","[""forcepush"",""item_num"",""user_item_id""]","[""add_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,"player_items, player_equipment, player_counters, tutorial_progress, request_dedup",IMPLEMENTED_LOCAL_SLICE,GAMEPLAY_REQUIRED,HTTP integration test,NOT DEVICE VERIFIED,"Current handler covers only the local reconstruction slice; verify full response, rules, costs, and restart behavior.","Extend behavior from client evidence; add success, legal refusal, retry, persistence, and device checks."
